"","norm","phys_trans","soc_trans","phys.S.change","phys.I.change","phys.R.change","phys.V.change","soc.N.change","soc.V.change","mutual.info.change","moran.i.change","geary.c.change","getis.ord.change","NN.join.count.change","NV.join.count.change","VV.join.count.change"
"1",0,0.0235760398230789,-0.0145994017713406,-0.84375,0,-0.15625,-0.15625,-0.875,-0.875,-0.8125,-0.90625,-0.71875,0,-0.875,-0.875,-0.46875
"2",0.03125,0.0124006785932527,-0.00105830587672251,-0.875,-0.03125,-0.90625,-0.90625,-0.84375,-0.84375,-0.875,-0.6875,-0.6875,-0.03125,-0.875,-0.84375,-0.46875
"3",0.0625,0.0181177064597133,0.0154440245052947,-0.84375,0,-0.59375,-0.59375,-0.84375,-0.84375,-0.84375,-0.75,-0.6875,-0.71875,-0.90625,-0.84375,-0.71875
"4",0.09375,0.0164183615341972,0.0155247876024955,-0.875,0,-0.84375,-0.84375,-0.875,-0.875,-0.9375,-0.8125,-0.8125,0,-0.875,-0.875,-0.65625
"5",0.125,0.015497493534154,0.0155353929848726,-0.90625,0,-0.84375,-0.84375,-0.90625,-0.90625,-0.84375,-0.8125,-0.8125,0,-0.875,-0.90625,-0.5625
"6",0.15625,0.0230140343436417,0.0233081589611797,-0.84375,0,0,0,-0.875,-0.875,-0.8125,-0.6875,-0.625,0,-0.84375,-0.875,-0.5625
"7",0.1875,0.0310651324826664,0.0310862895113518,-0.84375,0,-0.59375,-0.59375,-0.84375,-0.84375,-0.90625,-0.78125,-0.71875,0,-0.875,-0.84375,-0.46875
"8",0.21875,0.0300035636229848,0.0311200410321378,-0.8125,0,-0.875,-0.875,-0.84375,-0.84375,-0.8125,-0.59375,-0.53125,0,-0.84375,-0.84375,-0.53125
"9",0.25,0.0467296914730695,0.0468188886620713,-0.875,-0.9375,-0.875,-0.875,-0.875,-0.875,-0.84375,-0.78125,-0.78125,0.03125,-0.875,-0.875,0.03125
"10",0.28125,0.0382053488726097,0.0389929480716677,-0.875,0,-0.625,-0.3125,-0.90625,-0.90625,-0.875,-0.8125,-0.8125,0,-0.90625,-0.90625,-0.4375
"11",0.3125,0.0535567748835169,0.0546230807630994,-0.875,0.03125,0.03125,0.03125,-0.875,-0.875,-0.84375,-0.71875,-0.59375,0.03125,-0.84375,-0.875,-0.34375
"12",0.34375,0.0536576196784383,0.0546317450572014,-0.875,-0.65625,0.03125,0.03125,-0.8125,-0.8125,-0.875,-0.71875,-0.71875,0.03125,-0.8125,-0.8125,0.03125
"13",0.375,0.0463276047209334,0.0468401968225884,-0.84375,0.03125,-0.90625,-0.90625,-0.84375,-0.84375,-0.78125,-0.78125,-0.75,-0.90625,-0.84375,-0.875,-0.28125
"14",0.40625,0.0537703125115347,0.0546365530014622,-0.8125,-0.9375,-0.53125,-0.53125,-0.875,-0.875,-0.8125,-0.84375,-0.84375,0.03125,-0.84375,-0.875,0.03125
"15",0.5,0.0608777505800869,0.0624444330144584,-0.90625,0.03125,-0.71875,-0.71875,-0.84375,-0.84375,-0.90625,-0.8125,-0.8125,-0.6875,-0.84375,-0.84375,-0.6875
"16",0.625,0.0773821695515628,0.0781033079072759,-0.9375,0.0625,-0.84375,-0.84375,-0.84375,-0.84375,-0.9375,-0.65625,-0.53125,0.0625,-0.84375,-0.84375,0.0625
"17",0.75,0.108602475446395,0.109356304051431,-0.875,0.09375,-0.8125,-0.8125,-0.84375,-0.84375,-0.875,-0.78125,-0.78125,0.09375,-0.875,-0.84375,0.09375
"18",0.875,0.106604699880515,0.109327114615578,-0.875,0.0625,-0.125,-0.125,-0.875,-0.875,-0.875,-0.53125,-0.53125,0.0625,-0.875,-0.875,-0.71875
"19",1,0.122843248276775,0.124971832476408,-0.875,0.09375,0.09375,0.09375,-0.84375,-0.84375,-0.71875,-0.75,-0.75,0.09375,-0.875,-0.84375,0.09375
"20",1.125,0.154334448240769,0.156224489046515,-0.75,0.125,-0.96875,-0.96875,-0.84375,-0.84375,-0.71875,-0.78125,-0.78125,0.125,-0.78125,-0.84375,0.125
"21",1.25,0.154200773330028,0.156225529350293,-0.8125,0.125,-0.125,-0.125,-0.75,-0.75,-0.8125,-0.53125,-0.53125,0.125,-0.84375,-0.75,0.125
"22",1.375,0.20208048748948,0.203113694191796,-0.90625,-0.75,-0.8125,-0.8125,-0.84375,-0.84375,-0.90625,-0.65625,-0.3125,0.1875,-0.84375,-0.84375,0.1875
"23",1.5,0.170919907755171,0.171864475253463,-0.84375,0.15625,-0.90625,-0.90625,-0.78125,-0.78125,-0.90625,-0.5,-0.5,-0.625,-0.71875,-0.78125,-0.625
"24",1.625,0.213964052273375,0.218688453207356,-0.90625,0.15625,0.15625,0.15625,-0.90625,-0.90625,-0.84375,-0.5,-0.5,0.15625,-0.8125,-0.90625,0.15625
"25",1.75,0.185627200054661,0.187480978824331,-0.71875,0.15625,-0.40625,-0.40625,-0.71875,-0.71875,-0.75,-0.5,-0.5,-0.625,-0.6875,-0.71875,-0.625
"26",1.875,0.216652509977749,0.218732607887035,-0.84375,0.1875,-0.71875,-0.71875,-0.8125,-0.8125,-0.84375,0.1875,0.4375,-0.75,-0.875,-0.84375,-0.75
"27",2,0.154338525363123,0.156233432784898,-0.8125,0.125,-0.84375,-0.84375,-0.8125,-0.8125,-0.8125,0.125,-0.21875,-0.90625,-0.8125,-0.8125,-0.90625
